"","Reviews","Language","Language_score","Sentiment","Mixed","Negative","Neutral","Positive"
"1","Nice story, beautiful photography, excellent acting performance. But the end was really fussy and corny. But we still need stories like that that restore people's faith in true love and their ability to stick together to death.","en",0.991975545883179,"MIXED",0.99779,5e-05,2e-05,0.00214
"2","Many times when someone is born poor, they want to prove much better, be someone, so they become richer than they just fall in their page. There are a lot of stories like that in real life. The film is full of many lessons, it is worth watching, but you have to have some brains to rate.","en",0.997346222400665,"MIXED",0.93478,0.00173,0.00329,0.0602
"3","I just saw it, I liked it. spoiler:There are always such scumbags who deliberately want to screw up the happiness of others (the mother). Can they be stupid enough to think money is more important than anything? That really annoyed me in the movie, I almost mundled my glasses. But human values are much more important. If you have that, you'll have the money later on you. Because then the peak of human existence can be created: happiness plus wealth together. Thank God I got that because my wife hasn't listened to her silly mother in 30 years. It's like I've seen my own story, but the end of it is nonsense. In bed, in pillows together. Now, don't be kidding.","en",0.997239053249359,"MIXED",0.7888,0.04006,0.01184,0.1593
"4","It may be a bit cheese — more like a framework story for the elderly — but I've seen much better.
The two main characters are taking the movie. World literature is full of such “gicsses” stories. Romeo and Juliet, Tristan and Isolde, Orpheus and Euridice and more. These are still working today. In today's accelerated world there is also a need for tales, and it is possible that there are fortunate people to whom the fairy tale happens.","en",0.988941133022308,"MIXED",0.78737,0.0069,0.00574,0.19999
"5","You misunderstand. It is not the love that lasts to the grave that is sentimental, but the way it is presented in this movie in a cheap, pretentious way. Instead of authentic emotions, empty sentimentality.
To give a counterpoint, for example, Richard Linklater's... trilogy (Before the sun rises, before the sun goes down, before the clock hits midnight) is able to show true, authentic emotions without any sentimentalism and pretentiousness through the story of a love.","en",0.9893758893013,"NEGATIVE",0.12484,0.66583,0.01528,0.19404
"6","That would have been a brilliant twist. XD I think I was waiting for something like this, but in vain...","en",0.995759069919586,"MIXED",0.45701,0.34638,0.08593,0.11068
"7","My dear Love, this movie is one of our favorites! Oh, we can cry about it. Wonderful performance from the protagonists!","en",0.990662336349487,"POSITIVE",5e-05,7e-05,0.00046,0.99942
"8","It is unfortunate to apostrophe love to the grave as sentimentalism.
Yeah, it's unthinkable nowadays.
In the past, it was not a rarity for people to live their lives for good or better, even through bleeding times. The number of divorces used to be very low.
Is it time to realize whether we would like our iodine enough? 
We should prioritize what the real value is in our lives... it's important that we choose well...
It's over two hours of film, which, even filled with commercials, may seem like a lot. No wonder a lot of people don't watch it on TV","en",0.995411157608032,"NEGATIVE",0.12659,0.69245,0.14451,0.03645
"9","I read it a lot, it's predictable. Why is the degree of predictability among the primary judgments? In fact, some people just pull it off for that. So all the fairy-tale stories are weak because they're predictable? We watch a movie because we want to be enchanted by something. This movie enchants me, so it wasn't predictable for me. Why? Why? Because I was listening to magic and I didn't step out of the story to think about what was going to happen. And by the way, the film is impeccable in every way.","en",0.995873808860779,"MIXED",0.68621,0.06009,0.00212,0.25158
"10","9.4 for this movie? Is this some kind of joke?
I've never seen such a pretentious, overpriced kitsch in my life. 
my girl made me see how good it was. I look at it, and then I thought, “I must have a woman who likes it.","en",0.997790455818176,"MIXED",0.57413,0.19424,0.06155,0.17007
"11","I've been able to enjoy every minute of it, for the next time. It's probably about the fact that the movie doesn't talk to everyone. I'm sure it's better for those who don't get caught up in a little American kitsch or a little cliché sometimes, or even the protagonist's birthmarks... but enjoy the manifestations of love and passion and, of course, delight in Gosling's game, talent, exterior...","en",0.993184387683868,"POSITIVE",0.45575,0.00357,0.00568,0.535
"12","SPOILER
In the end, I expected it to turn out that the old gentleman wasn't Noah, he was Ron, just playing Noah for Allie's sake.","en",0.991740643978119,"NEUTRAL",3e-05,0.13846,0.84234,0.01917
"13","I would like to bring this film to your attention to my grandchildren Peti.","en",0.989471793174744,"POSITIVE",0.00138,0.02749,0.09944,0.8717
"14","Hmmm! How do I start? The lot of opinions are correct, but in fact, the people who have lived the situation can enjoy the movie. It is true that it can be called a little kitschy, predictable, etc., but after 57 years of similar love conditions, this film is the mirror for us. That makes our 10 points.","en",0.99520069360733,"MIXED",0.48827,0.00581,0.03202,0.4739
"15","That got more points than Titanic? I know it's not exactly a category, but I don't think this movie is the big deal.","en",0.997472941875458,"MIXED",0.41939,0.29661,0.12127,0.16274
"16","SPOILER 
It's an overrated movie. 
mr. Heartbreaker's fashionable, early play is absolutely unconvincing, Rachel and her have no chemistry, which may not be visible because it's still Ms. Hudson. McAdams' career break, this film was the big leap. 
Ms. Bell. McAdams, as they say, gave him his best. Rachel's body, however, because of the Irish and Scottish ascents, has moles in too white and unwanted places, so it is presumed that mr. Heartbreaker takes off stockings from a foot double in one of the “hot” scenes of the film (watch the changing hairdress and how Ryan's wet body dries in one blow during the scene). By the way, staring at Ms. McAdams' rattling ribs is no pleasure. The top is, “I'm gonna take your pants down so you can pick me up upstairs “- that's more ridiculous than romantic. Closing the love scene, Allie is watching her love sleep, although at that time there was no corrective mutt for the septum of the nose, so it's hard to believe that the film “Noah” would not snore into the image of her love. 
Martha and Allie's friendship is surreal, and Allie's remaining volcanic logic unravels her love disappointment. Everyone can express moral heights in words that completely distract the viewer. The screenwriter does not let the viewer feel what the character is thinking: instead he puts the emotional projection into his mouth, rubs it with geometric accuracy and rubs it all in the viewer's nose (see Martha evaluates her potential while Goslin stares with veal eyes and McAdams is jealous at a glance you will get sorting instructions). The arrows are painted on the floor the next morning, which is just plain sorting nonsense.
The characters are not deep enough, their vocations are theatrical, largely lacking in vitality. The one-minute stereotype put into the mother's story is a plastic side rather than an artist. 
The fundamental tension of “film in film” works would be parallel conflict, but instead of creating tension, the film quietly shoots jokes without catharsis. The viewer looks bored at the end of the film, disappointed with the end, and pretty much feels: “Now, we've seen this too”.
If you are looking for a lifely-smelling female character coming back and forth between the real male characters and want to know “how it went before, when there was no Tinder, facebook, viber, etc.”, you should take a look at the worlds of Brad Pitt and Aidan Quinn, where the female character Julia Ormond se is a wretched traveler, in his life: https://port.hu/adatlap/film/tv/szenvedelyek-viharaban-legends-of-the-fall/movie-2301
In the 21st century, such “love nearsightedness” no longer exists, but the forties who scored the film raise their young years - with the tenth votes - to pedestal. I assure them: girls attracted to their Gosling partner don't expect years for a potential orgasm these days, but they just check it out, maybe too fast, without wanting to get married.
Nowadays you don't need a newspaper article to get news of your love back from the front for years. The modern soldier discusses with the family before and after the deployment, if at all he has to leave the country for service, not to control the Middle East drones from the Nevada desert, not to mention the couples of soldiers serving together.
The landscape is beautiful, but the rain from the sprinklers can make the experience forget. By the way, the domestic ducks don't fly anywhere, so I guess the wild ducks didn't want to be on the set, and no trained swans were handy.
Above forty recommended pieces, 6/10 for them, forgettable for younger ones.","en",0.993459761142731,"NEGATIVE",0.00107,0.64842,0.14998,0.20053
"17","I've seen it once, but not from the beginning. It didn't affect me that much. I've just looked at it, and the beginning of the story really struck me, but at the same time the end SPOILER was terribly corny, lifeless, and so it hit me to death. The teenage love thread is quite credible, and those who lack depth, character regression and character development have probably forgotten that teenage lovers tend not to develop along human/moral values, but rather physical attraction and chemistry predominate. At the same time, character development in life is not always guaranteed. I mean, so far, the story is authentic. The end, on the other hand, is a concentrated spill, and so the effect that we managed to create in the beginning completely dissolved by the end. It's a shame, because it could have been done without disappointing me.","en",0.993633210659027,"NEGATIVE",0.24195,0.70748,0.00692,0.04365
"18","It was a miraculous movie and unforgettable.They played their roles credibly, and I believed that it was true love, even if their love was complicated. Let's say, the mother of the elie was surprised to believe that there were secrets of such a woman-woman who strictly insisted that the girl would not pick it up.","en",0.998136222362518,"POSITIVE",7e-05,0.00015,0.00042,0.99936
"19","Agree.:) is not a big sister movie, you can watch it once... Everyone here was ranting about this movie, come on.
I hated Gosling because of this movie.
I liked it better in the winged bounty hunter.","en",0.995707511901855,"NEGATIVE",0.28203,0.37652,0.02676,0.31469
"20","Beautiful, deeply sentimental, sensational acting. 10/10 One of the most prestigious romantic films","en",0.984197497367859,"POSITIVE",5e-05,5e-05,0.00113,0.99878
"21","It's a wonderful film... about true love, unconditional love. 10/10
I didn't like every character in every moment, and is it totally irrelevant whether the story is predictable or not? It is not always possible to invent something completely new, to create! The point is the film to say, and the story, the characters are brought to life. Based on these, you can only talk about it in a high degree... I think<U+1366>)","en",0.994942367076874,"POSITIVE",0.00829,0.00048,0.00044,0.99079
"22","Watchable film, I wouldn't say bad in any way. The only problem I had was that it was predictable, and it was hard to guess the end. Anyway, nice story. Right after the movie, I said 10/7 although after two and a half hours, it's 10/8 for me.","en",0.996296942234039,"MIXED",0.94539,0.0036,0.00095,0.05006
"23","The film, of course, is 10/10 +1, because Ryan Gosling is a bearded frantically handsome man.","en",0.994583010673523,"POSITIVE",0.00048,0.00484,0.04585,0.94883
